id_venta,id_pedido,id_cliente,nombre_cliente,correo_cliente,fecha_registro_cliente,canal_venta,categoria_producto,producto,cantidad,precio_unitario,subtotal_linea,tipo_pedido,con_reservacion,id_mesa,ubicacion_mesa,tipo_mesa,fecha_reservacion,estado_reservacion,fecha_pedido,hora_pedido,estado_pedido,metodo_pago,estado_pago,subtotal_pedido,impuestos,total_pedido,tiempo_entrega_min,calificacion_servicio,tipo_cliente,origen_ecommerce
1,1001,143,Estefanía Sánchez,estefanía.sánchez143@correo.com,2025-03-29,Presencial (mesero),Bebidas calientes,Té chai,3,34.81,104.43,para llevar,False,,,,,,2025-08-30,14:50:00,entregado,tarjeta,pagado,572.34,91.57,663.91,41.0,5.0,VIP,False
2,1001,143,Estefanía Sánchez,estefanía.sánchez143@correo.com,2025-03-29,Presencial (mesero),Alimentos,Sandwich club,3,89.96,269.88,para llevar,False,,,,,,2025-08-30,14:50:00,entregado,tarjeta,pagado,572.34,91.57,663.91,41.0,5.0,VIP,False
3,1001,143,Estefanía Sánchez,estefanía.sánchez143@correo.com,2025-03-29,Presencial (mesero),Repostería,Brownie,3,30.19,90.57,para llevar,False,,,,,,2025-08-30,14:50:00,entregado,tarjeta,pagado,572.34,91.57,663.91,41.0,5.0,VIP,False
4,1001,143,Estefanía Sánchez,estefanía.sánchez143@correo.com,2025-03-29,Presencial (mesero),Café frío,Café helado,2,53.73,107.46,para llevar,False,,,,,,2025-08-30,14:50:00,entregado,tarjeta,pagado,572.34,91.57,663.91,41.0,5.0,VIP,False
5,1002,206,María García,maría.garcía206@correo.com,2026-03-31,Página web,Alimentos,Panini de jamón y queso,2,89.4,178.8,para llevar,False,,,,,,2026-06-14,14:40:00,listo,transferencia,pagado,351.54,56.25,407.79,14.0,,VIP,True
6,1002,206,María García,maría.garcía206@correo.com,2026-03-31,Página web,Alimentos,Ensalada César,2,86.37,172.74,para llevar,False,,,,,,2026-06-14,14:40:00,listo,transferencia,pagado,351.54,56.25,407.79,14.0,,VIP,True
7,1003,22,Sofía Díaz,sofía.díaz22@correo.com,2025-08-13,Presencial (mostrador),Café caliente,Espresso,1,30.52,30.52,para llevar,False,,,,,,2026-01-20,13:25:00,entregado,tarjeta,pagado,30.52,4.88,35.4,31.0,4.0,VIP,False
8,1004,213,Julián Vázquez,julián.vázquez213@correo.com,2025-11-03,Presencial (mostrador),Repostería,Concha,3,45.23,135.69,en el lugar,True,4.0,Barra,pareja,2026-01-05,no_show,2026-01-08,15:00:00,listo,tarjeta,pagado,290.59,46.49,337.08,25.0,,VIP,False
9,1004,213,Julián Vázquez,julián.vázquez213@correo.com,2025-11-03,Presencial (mostrador),Café frío,Cold brew,2,54.7,109.4,en el lugar,True,4.0,Barra,pareja,2026-01-05,no_show,2026-01-08,15:00:00,listo,tarjeta,pagado,290.59,46.49,337.08,25.0,,VIP,False
10,1004,213,Julián Vázquez,julián.vázquez213@correo.com,2025-11-03,Presencial (mostrador),Café frío,Frappé de café,1,45.5,45.5,en el lugar,True,4.0,Barra,pareja,2026-01-05,no_show,2026-01-08,15:00:00,listo,tarjeta,pagado,290.59,46.49,337.08,25.0,,VIP,False
11,1005,204,Regina Castillo,regina.castillo204@correo.com,2025-02-06,Presencial (mesero),Café caliente,Americano,2,35.38,70.76,en el lugar,False,20.0,Terraza,grupal,,,2025-09-25,19:30:00,en preparación,transferencia,pagado,160.04,25.61,185.65,,,Frecuente,False
12,1005,204,Regina Castillo,regina.castillo204@correo.com,2025-02-06,Presencial (mesero),Repostería,Muffin de arándano,1,37.29,37.29,en el lugar,False,20.0,Terraza,grupal,,,2025-09-25,19:30:00,en preparación,transferencia,pagado,160.04,25.61,185.65,,,Frecuente,False
13,1005,204,Regina Castillo,regina.castillo204@correo.com,2025-02-06,Presencial (mesero),Café frío,Cold brew,1,51.99,51.99,en el lugar,False,20.0,Terraza,grupal,,,2025-09-25,19:30:00,en preparación,transferencia,pagado,160.04,25.61,185.65,,,Frecuente,False
14,1006,217,Carlos Romero,carlos.romero217@correo.com,2026-05-24,Presencial (mostrador),Repostería,Muffin de arándano,1,50.26,50.26,para llevar,False,,,,,,2026-08-13,07:05:00,entregado,tarjeta,pagado,71.96,11.51,83.47,11.0,5.0,Frecuente,False
15,1006,217,Carlos Romero,carlos.romero217@correo.com,2026-05-24,Presencial (mostrador),Bebidas frías,Jugo de naranja,1,21.7,21.7,para llevar,False,,,,,,2026-08-13,07:05:00,entregado,tarjeta,pagado,71.96,11.51,83.47,11.0,5.0,Frecuente,False
16,1007,214,Lucía Flores,lucía.flores214@correo.com,2025-07-23,Página web,Bebidas frías,Té helado,3,26.9,80.7,para llevar,False,,,,,,2026-07-03,08:20:00,entregado,pago en línea,pagado,173.32,27.73,201.05,27.0,4.0,Frecuente,True
17,1007,214,Lucía Flores,lucía.flores214@correo.com,2025-07-23,Página web,Café caliente,Capuchino,2,46.31,92.62,para llevar,False,,,,,,2026-07-03,08:20:00,entregado,pago en línea,pagado,173.32,27.73,201.05,27.0,4.0,Frecuente,True
18,1008,213,Julián Vázquez,julián.vázquez213@correo.com,2025-11-03,Presencial (mesero),Repostería,Muffin de arándano,1,36.48,36.48,para llevar,False,,,,,,2025-11-26,10:30:00,entregado,efectivo,pagado,84.65,13.54,98.19,22.0,5.0,VIP,False
19,1008,213,Julián Vázquez,julián.vázquez213@correo.com,2025-11-03,Presencial (mesero),Café caliente,Latte,1,48.17,48.17,para llevar,False,,,,,,2025-11-26,10:30:00,entregado,efectivo,pagado,84.65,13.54,98.19,22.0,5.0,VIP,False
